iter	Passed	Remaining
286	2874	7140
287	2878	7116
288	2881	7089
289	2891	7080
290	2905	7079
291	2919	7077
292	2932	7075
293	2936	7050
294	2938	7022
295	2952	7021
296	2958	7003
297	2968	6993
298	2978	6983
299	2982	6958
300	2984	6930
301	2993	6919
302	3005	6913
303	3017	6909
304	3025	6895
305	3038	6891
306	3071	6933
307	3090	6943
308	3093	6918
309	3110	6924
310	3133	6942
311	3138	6919
312	3140	6893
313	3158	6899
314	3172	6898
315	3178	6879
316	3187	6868
317	3190	6843
318	3207	6847
319	3227	6857
320	3230	6832
321	3232	6806
322	3239	6789
323	3256	6794
324	3260	6771
325	3275	6772
326	3284	6759
327	3299	6760
328	3303	6737
329	3306	6712
330	3316	6702
331	3335	6710
332	3347	6705
333	3351	6682
334	3356	6663
335	3361	6643
336	3363	6617
337	3365	6591
338	3367	6566
339	3370	6543
340	3411	6592
341	3428	6596
342	3432	6575
343	3435	6552
344	3444	6539
345	3460	6540
346	3463	6517
347	3466	6493
348	3471	6476
349	3490	6481
350	3495	6462
351	3497	6438
352	3505	6425
353	3512	6409
354	3529	6412
355	3532	6390
356	3546	6387
357	3555	6376
358	3567	6369
359	3584	6373
360	3600	6373
361	3617	6376
362	3631	6372
363	3634	6351
364	3667	6381
365	3681	6377
366	3686	6357
367	3695	6345
368	3706	6338
369	3716	6328
370	3727	6320
371	3742	6318
372	3755	6312
373	3766	6303
374	3786	6310
375	3788	6288
376	3798	6277
377	3811	6272
378	3827	6271
379	3840	6266
380	3854	6262
381	3857	6240
382	3860	6219
383	3876	6218
384	3890	6214
385	3908	6216
386	3911	6195
387	3913	6172
388	3922	6160
389	3932	6150
390	3941	6139
391	3953	6132
392	3956	6111
393	3959	6089
394	3963	6071
395	3974	6061
396	3987	6057
397	3991	6037
398	3998	6022
399	4000	6001
400	4003	5979
401	4006	5959
402	4018	5953
403	4030	5946
404	4044	5942
405	4056	5934
406	4069	5929
407	4088	5932
408	4092	5913
409	4097	5896
410	4108	5888
411	4121	5881
412	4138	5882
413	4152	5877
414	4174	5884
415	4187	5879
416	4204	5878
417	4208	5859
418	4210	5838
419	4217	5823
420	4218	5802
421	4220	5780
422	4221	5758
423	4223	5737
424	4224	5715
425	4226	5695
426	4228	5674
427	4238	5665
428	4248	5654
429	4252	5636
430	4254	5617
431	4258	5599
432	4273	5596
433	4291	5596
434	4299	5583
435	4302	5566
436	4308	5551
437	4314	5535
438	4320	5521
439	4341	5525
440	4349	5513
441	4353	5496
442	4355	5476
443	4362	5463
444	4376	5458
445	4389	5452
446	4397	5440
447	4399	5421
448	4401	5401
449	4416	5398
450	4443	5408
451	4446	5390
452	4448	5372
453	4451	5353
454	4453	5334
455	4455	5315
456	4473	5314
457	4480	5302
458	4484	5285
459	4497	5279
460	4505	5267
461	4508	5250
462	4543	5269
463	4548	5254
464	4551	5236
465	4558	5223
466	4560	5204
467	4562	5186
468	4564	5168
469	4566	5149
470	4582	5146
471	4599	5145
472	4615	5141
473	4631	5139
474	4644	5133
475	4647	5115
476	4680	5131
477	4693	5124
478	4696	5108
479	4703	5095
480	4706	5078
481	4709	5061
482	4711	5042
483	4727	5040
484	4744	5037
485	4747	5020
486	4762	5016
487	4767	5002
488	4789	5004
489	4794	4989
490	4801	4977
491	4822	4979
492	4836	4973
493	4839	4957
494	4856	4954
495	4858	4937
496	4861	4919
497	4865	4904
498	4897	4916
499	4920	4920
500	4923	4903
501	4933	4893
502	4942	4883
503	4945	4866
504	4947	4849
505	4961	4844
506	4983	4846
507	5003	4845
508	5006	4829
509	5026	4829
510	5045	4827
511	5049	4812
512	5051	4795
513	5055	4780
514	5062	4767
515	5087	4771
516	5093	4758
517	5120	4764
518	5123	4748
519	5127	4732
520	5129	4715
521	5140	4707
522	5149	4696
523	5165	4692
524	5183	4689
525	5209	4694
526	5236	4699
527	5238	4683
528	5255	4679
529	5265	4669
530	5268	4653
531	5271	4637
532	5284	4630
533	5287	4614
534	5289	4597
535	5307	4594
536	5335	4600
537	5356	4600
538	5366	4590
539	5370	4575
540	5373	4558
541	5375	4542
542	5377	4525
543	5380	4509
544	5381	4492
545	5396	4486
546	5405	4476
547	5408	4460
548	5411	4445
549	5426	4440
550	5435	4429
551	5440	4415
552	5494	4441
553	5498	4426
554	5502	4411
555	5505	4396
556	5508	4381
557	5510	4365
558	5513	4349
559	5515	4333
560	5527	4325
561	5535	4314
562	5548	4306
563	5557	4296
564	5572	4290
565	5576	4275
566	5586	4266
567	5589	4250
568	5597	4239
569	5599	4223
570	5600	4208
571	5614	4201
572	5655	4214
573	5671	4209
574	5675	4194
575	5688	4187
576	5700	4178
577	5718	4174
578	5737	4171
579	5741	4157
580	5757	4152
581	5761	4137
582	5781	4135
583	5786	4121
584	5792	4109
585	5794	4093
586	5796	4078
587	5799	4063
588	5801	4048
589	5810	4038
590	5818	4026
591	5825	4014
592	5839	4007
593	5842	3993
594	5848	3981
595	5861	3973
596	5868	3961
597	5875	3949
598	5889	3942
599	5904	3936
600	5919	3929
601	5924	3917
602	5934	3907
603	5941	3895
604	5954	3887
605	5966	3879
606	5972	3866
607	5988	3860
608	5994	3848
609	6000	3836
610	6011	3827
611	6018	3815
612	6030	3807
613	6035	3794
614	6040	3781
615	6049	3771
616	6056	3759
617	6071	3752
618	6073	3738
619	6077	3725
620	6084	3713
621	6094	3704
622	6107	3696
623	6143	3701
624	6145	3687
625	6147	3672
626	6149	3658
627	6151	3643
628	6165	3636
629	6168	3622
630	6175	3611
631	6185	3601
632	6189	3588
633	6202	3580
634	6223	3577
635	6229	3565
636	6238	3555
637	6243	3542
638	6248	3529
639	6257	3519
640	6268	3510
641	6271	3497
642	6276	3485
643	6286	3474
644	6294	3464
645	6298	3451
646	6300	3437
647	6304	3424
648	6312	3414
649	6324	3405
650	6337	3397
651	6347	3388
652	6353	3375
653	6358	3364
654	6371	3355
655	6377	3344
656	6389	3335
657	6413	3333
658	6427	3325
659	6443	3319
660	6455	3310
661	6495	3316
662	6499	3303
663	6500	3289
664	6516	3282
665	6518	3269
666	6520	3255
667	6527	3244
668	6529	3230
669	6533	3217
670	6536	3204
671	6544	3194
672	6555	3185
673	6576	3180
674	6586	3171
675	6600	3163
676	6616	3157
677	6624	3146
678	6656	3146
679	6662	3135
680	6666	3122
681	6683	3116
682	6690	3105
683	6703	3096
684	6717	3089
685	6725	3078
686	6737	3069
687	6740	3056
688	6744	3044
689	6754	3034
690	6762	3024
691	6776	3015
692	6789	3007
693	6795	2996
694	6808	2988
695	6814	2976
696	6825	2967
697	6842	2960
698	6855	2952
699	6860	2940
700	6867	2929
701	6876	2918
702	6896	2913
703	6904	2902
704	6906	2890
705	6909	2877
706	6921	2868
707	6929	2857
708	6938	2847
709	6950	2839
710	6956	2827
711	6963	2816
712	6966	2804
713	6969	2791
714	6982	2783
715	6988	2772
716	6996	2761
717	7003	2750
718	7013	2740
719	7017	2728
720	7023	2717
721	7040	2710
722	7045	2699
723	7050	2687
724	7063	2679
725	7077	2671
726	7090	2662
727	7103	2654
728	7109	2642
729	7116	2632
730	7127	2622
731	7131	2610
732	7136	2599
733	7147	2590
734	7152	2578
735	7168	2571
736	7180	2562
737	7197	2555
738	7200	2542
739	7203	2530
740	7210	2520
741	7215	2508
742	7221	2497
743	7228	2487
744	7236	2477
745	7250	2468
746	7254	2457
747	7265	2447
748	7277	2438
749	7283	2427
750	7297	2419
751	7313	2411
752	7326	2403
753	7336	2393
754	7353	2386
755	7371	2379
756	7380	2369
757	7387	2358
758	7405	2351
759	7409	2339
760	7420	2330
761	7425	2319
762	7438	2310
763	7442	2298
764	7445	2287
765	7454	2277
766	7461	2266
767	7467	2255
768	7479	2246
769	7493	2238
770	7499	2227
771	7506	2217
772	7534	2212
773	7537	2200
774	7542	2189
775	7554	2180
776	7562	2170
777	7573	2161
778	7577	2149
779	7584	2139
780	7592	2129
781	7599	2118
782	7604	2107
783	7620	2099
784	7637	2091
785	7643	2081
786	7655	2072
787	7667	2062
788	7675	2052
789	7681	2041
790	7695	2033
791	7711	2025
792	7726	2016
793	7742	2008
794	7755	1999
795	7767	1990
796	7789	1984
797	7798	1973
798	7805	1963
799	7813	1953
800	7835	1946
801	7849	1937
802	7855	1927
803	7863	1916
804	7881	1909
805	7897	1900
806	7929	1896
807	7932	1884
808	7934	1873
809	7940	1862
810	7947	1852
811	7954	1841
812	7977	1835
813	7982	1824
814	7989	1813
815	7992	1802
816	7998	1791
817	8020	1784
818	8029	1774
819	8034	1763
820	8037	1752
821	8042	1741
822	8044	1730
823	8054	1720
824	8069	1711
825	8073	1700
826	8085	1691
827	8134	1689
828	8138	1678
829	8142	1667
830	8144	1656
831	8162	1648
832	8165	1636
833	8166	1625
834	8175	1615
835	8179	1604
836	8182	1593
837	8184	1582
838	8190	1571
839	8198	1561
840	8207	1551
841	8224	1543
842	8225	1532
843	8280	1530
844	8320	1526
845	8324	1515
846	8343	1507
847	8358	1498
848	8361	1487
849	8362	1475
850	8372	1465
851	8379	1455
852	8388	1445
853	8421	1439
854	8443	1431
855	8485	1427
856	8489	1416
857	8519	1409
858	8548	1403
859	8552	1392
860	8554	1381
861	8556	1369
862	8558	1358
863	8560	1347
864	8564	1336
865	8580	1327
866	8597	1318
867	8607	1309
868	8630	1301
869	8727	1304
870	8729	1292
871	8732	1281
872	8733	1270
873	8741	1260
874	8752	1250
875	8767	1241
876	8784	1232
877	8796	1222
878	8799	1211
879	8801	1200
880	8804	1189
881	8855	1184
882	8857	1173
883	8866	1163
884	8868	1152
885	8871	1141
886	8882	1131
887	8885	1120
888	8887	1109
889	8890	1098
890	8907	1089
891	8917	1079
892	8920	1068
893	8936	1059
894	8992	1054
895	8996	1044
896	9012	1034
897	9023	1024
898	9034	1014
899	9036	1004
900	9045	993
901	9047	982
902	9054	972
903	9056	961
904	9059	950
905	9078	941
906	9081	931
907	9084	920
908	9099	910
909	9102	900
910	9107	889
911	9113	879
912	9117	868
913	9131	859
914	9175	852
915	9177	841
916	9180	830
917	9206	822
918	9209	811
919	9226	802
920	9251	793
921	9253	782
922	9255	772
923	9257	761
924	9259	750
925	9298	743
926	9337	735
927	9339	724
928	9346	714
929	9348	703
930	9350	692
931	9352	682
932	9381	673
933	9390	663
934	9392	652
935	9399	642
936	9401	632
937	9403	621
938	9411	611
939	9463	604
940	9466	593
941	9473	583
942	9474	572
943	9477	562
944	9487	552
945	9490	541
946	9498	531
947	9501	521
948	9503	510
949	9506	500
950	9514	490
951	9538	480
952	9592	473
953	9607	463
954	9615	453
955	9633	443
956	9687	435
957	9706	425
958	9708	415
959	9712	404
960	9714	394
961	9724	384
962	9748	374
963	9751	364
964	9753	353
965	9765	343
966	9777	333
967	9790	323
968	9843	314
969	9856	304
970	9869	294
971	9873	284
972	9884	274
973	9887	263
974	9899	253
975	9936	244
976	9942	234
977	9945	223
978	9947	213
979	9963	203
980	9977	193
981	9989	183
982	9995	172
983	9998	162
984	10000	152
985	10004	142
986	10007	131
987	10009	121
988	10016	111
989	10022	101
990	10064	91
991	10068	81
992	10074	71
993	10076	60
994	10085	50
995	10088	40
996	10168	30
997	10174	20
998	10179	10
999	10188	0
