iter	Passed	Remaining
902	1504	161
903	1505	159
904	1506	158
905	1507	156
906	1509	154
907	1510	153
908	1511	151
909	1513	149
910	1514	147
911	1518	146
912	1519	144
913	1521	143
914	1522	141
915	1524	139
916	1525	138
917	1527	136
918	1528	134
919	1533	133
920	1535	131
921	1537	130
922	1538	128
923	1540	126
924	1541	124
925	1543	123
926	1544	121
927	1545	119
928	1547	118
929	1549	116
930	1550	114
931	1551	113
932	1554	111
933	1555	109
934	1559	108
935	1561	106
936	1562	105
937	1563	103
938	1564	101
939	1566	100
940	1568	98
941	1569	96
942	1575	95
943	1576	93
944	1578	91
945	1579	90
946	1580	88
947	1581	86
948	1583	85
949	1584	83
950	1588	81
951	1589	80
952	1590	78
953	1591	76
954	1593	75
955	1596	73
956	1598	71
957	1599	70
958	1603	68
959	1605	66
960	1606	65
961	1608	63
962	1610	61
963	1611	60
964	1612	58
965	1613	56
966	1614	55
967	1617	53
968	1618	51
969	1619	50
970	1621	48
971	1622	46
972	1624	45
973	1625	43
974	1627	41
975	1629	40
976	1630	38
977	1632	36
978	1634	35
979	1635	33
980	1636	31
981	1638	30
982	1639	28
983	1643	26
984	1645	25
985	1647	23
986	1649	21
987	1650	20
988	1651	18
989	1653	16
990	1654	15
991	1657	13
992	1659	11
993	1660	10
994	1662	8
995	1663	6
996	1664	5
997	1665	3
998	1666	1
999	1668	0
